Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,T?nh Thành,Vùng Mi?n,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
4102,US-2019-102288,6/19/2020,6/23/2019,TNT,ZC-21910,Zuschuss Carroll,Consumer,Viet Nam,??k L?k,Mi?n Trung,OFF-AP-10002906,Office Supplies,Binders,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,10212,1,0.8,-25530
9293,CA-2019-124114,3/2/2020,3/2/2019,DHL,RS-19765,Roland Schwarz,Corporate,Viet Nam,H? Chí Minh,Mi?n ?ông Nam B?,OFF-BI-10004022,Office Supplies,Binders,Acco Suede Grain Vinyl Round Ring Binder,12788,1,0.8,-21739.6
8659,CA-2018-168361,6/21/2019,6/25/2018,TNT,KB-16600,Ken Brennan,Corporate,Viet Nam,Hà Giang,Mi?n B?c,OFF-BI-10003727,Office Supplies,Binders,Avery Durable Slant Ring Binders With Label Holder,19228,1,0.8,-30764.8
4712,CA-2016-112403,3/31/2017,3/31/2016,DHL,JO-15280,Jas O'Carroll,Consumer,Viet Nam,H? Chí Minh,Mi?n ?ông Nam B?,OFF-BI-10003529,Office Supplies,Binders,Avery Round Ring Poly Binders,19596,1,0.7,-13717.2
2107,US-2016-152723,9/26/2017,9/26/2016,DHL,HG-14965,Henry Goldwyn,Corporate,Viet Nam,Hà T?nh,Mi?n Trung,OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch,20148,1,0.8,-32236.8
7549,CA-2016-103492,10/10/2017,10/15/2016,TNT,CM-12715,Craig Molinari,Corporate,Viet Nam,Hà N?i,Mi?n B?c,OFF-BI-10004140,Office Supplies,Binders,Avery Non-Stick Binders,20654,1,0.8,-36144.5
8034,CA-2017-119690,6/25/2018,6/28/2017,FEDEX,MV-17485,Mark Van Huff,Consumer,Viet Nam,H? Chí Minh,Mi?n ?ông Nam B?,OFF-BI-10000201,Office Supplies,Binders,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",22632,2,0.8,-33948
2762,CA-2019-126536,10/12/2020,10/14/2019,FEDEX,NK-18490,Neil Knudson,Home Office,Viet Nam,Bình ??nh,Mi?n Trung,TEC-AC-10003709,Technology,Accessories,Maxell 4.7GB DVD-R 5/Pack,22770,1,0,10018.8
8025,CA-2016-129189,7/21/2017,7/25/2016,TNT,HM-14860,Harry Marie,Corporate,Viet Nam,H? Chí Minh,Mi?n ?ông Nam B?,OFF-BI-10000494,Office Supplies,Binders,Acco Economy Flexible Poly Round Ring Binder,24012,1,0.8,-42021
1333,CA-2016-122567,2/16/2017,2/21/2016,TNT,MN-17935,Michael Nguyen,Consumer,Viet Nam,?à N?ng,Mi?n Trung,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,24840,3,0.8,-39744
977,US-2019-100209,7/9/2020,7/15/2019,TNT,TD-20995,Tamara Dahlen,Consumer,Viet Nam,Hà N?i,Mi?n B?c,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,24840,2,0.7,-18216
4934,CA-2017-106978,9/28/2018,10/4/2017,TNT,ZC-21910,Zuschuss Carroll,Consumer,Viet Nam,Ti?n Giang,Mi?n Tây Nam B?,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,24840,2,0.7,-18216
988,CA-2017-146829,3/10/2018,3/10/2017,DHL,TS-21340,Toby Swindell,Consumer,Viet Nam,Hà Giang,Mi?n B?c,OFF-BI-10004022,Office Supplies,Binders,Acco Suede Grain Vinyl Round Ring Binder,25576,2,0.8,-43479.2
2606,CA-2016-112718,12/16/2017,12/21/2016,TNT,KN-16450,Kean Nguyen,Corporate,Viet Nam,?à N?ng,Mi?n Trung,OFF-BI-10000591,Office Supplies,Binders,Avery Binder Pens,26841,1,0.7,-19683.4
4875,CA-2019-164042,5/23/2020,5/27/2019,TNT,KL-16645,Ken Lonsdale,Consumer,Viet Nam,Hà T?nh,Mi?n Trung,OFF-BI-10001922,Office Supplies,Binders,Storex Dura Pro Binders,27324,1,0.8,-45084.6
1686,CA-2019-149489,4/24/2020,4/27/2019,FEDEX,DK-12835,Damala Kotsonis,Corporate,Viet Nam,?à N?ng,Mi?n Trung,OFF-BI-10002813,Office Supplies,Binders,Avery Reinforcements for Hole-Punch Pages,27324,2,0.7,-22770
6090,US-2019-162068,12/28/2020,12/31/2019,UPS,PC-18745,Pamela Coakley,Corporate,Viet Nam,Bình D??ng,Mi?n ?ông Nam B?,OFF-BI-10002813,Office Supplies,Binders,Avery Reinforcements for Hole-Punch Pages,27324,2,0.7,-22770
1113,US-2018-110156,11/19/2019,11/24/2018,TNT,EH-13945,Eric Hoffmann,Consumer,Viet Nam,Lâm ??ng,Mi?n ?ông Nam B?,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,27416,2,0.8,-46607.2
3326,CA-2016-165309,11/11/2017,11/15/2016,TNT,KD-16270,Karen Daniels,Consumer,Viet Nam,H?i Phòng,Mi?n B?c,OFF-BI-10001267,Office Supplies,Binders,"Universal Recycled Hanging Pressboard Report Binders, Letter Size",28382,1,0.8,-45411.2
5207,CA-2017-102016,9/12/2018,9/18/2017,TNT,TM-21010,Tamara Manning,Consumer,Viet Nam,H? Chí Minh,Mi?n ?ông Nam B?,OFF-FA-10000490,Office Supplies,Envelopes,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",28520,1,0,13404.4
76,US-2019-118038,12/9/2020,12/11/2019,FEDEX,KB-16600,Ken Brennan,Corporate,Viet Nam,H? Chí Minh,Mi?n ?ông Nam B?,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,28704,3,0.8,-44491.2
8966,CA-2019-106691,11/6/2020,11/12/2019,TNT,CC-12370,Christopher Conant,Consumer,Viet Nam,?à N?ng,Mi?n Trung,OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets,28704,2,0.8,-44491.2
2347,CA-2018-159373,3/13/2019,3/18/2018,TNT,LT-17110,Liz Thompson,Consumer,Viet Nam,H?i Phòng,Mi?n B?c,OFF-BI-10004141,Office Supplies,Binders,Insertable Tab Indexes For Data Binders,29256,2,0.8,-49735.2
2428,CA-2018-169922,6/11/2019,6/17/2018,TNT,MZ-17515,Mary Zewe,Corporate,Viet Nam,??ng Nai,Mi?n ?ông Nam B?,OFF-BI-10003784,Office Supplies,Binders,Computer Printout Index Tabs,30912,4,0.8,-49459.2
